State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response,
NY,11365,113,49,1,141,335,476,12,2,0,4,1,1,0,4,Yes,Chosen
PA,19530,195,63,1,131,345,476,12,3,2,3,0,2,0,2,No,Chosen
MD,20769,207,39,1,146,329,475,12,1,1,2,0,2,1,5,Yes,Chosen
NY,11787,117,65,1,131,337,468,12,2,2,4,1,0,1,2,No,Chosen
PA,19446,194,57,1,136,324,460,12,3,1,5,0,0,1,2,No,Chosen
NJ,8107,81,45,1,127,329,456,12,3,1,4,1,1,2,0,No,Chosen
ME,4210,42,31,1,127,325,452,12,6,2,1,0,2,1,0,No,Chosen
MD,21045,210,31,1,137,313,450,12,4,1,3,0,1,2,1,No,Chosen
NY,11780,117,39,1,137,312,449,12,4,0,5,0,1,2,0,No,Chosen
NY,14027,140,67,1,131,318,449,12,2,2,2,3,0,2,1,No,Chosen
NY,10023,100,61,1,134,311,445,12,4,1,2,0,1,2,2,Yes,Chosen
DE,19809,198,59,1,134,310,444,12,3,1,4,1,1,2,0,No,Chosen
PA,18966,189,41,1,140,303,443,12,1,2,4,0,1,0,4,No,Chosen
PA,19128,191,33,1,132,310,442,12,3,1,3,1,2,1,1,No,Chosen
PA,17601,176,31,1,143,287,430,12,2,0,1,3,1,0,5,No,Chosen
NJ,7071,70,43,1,127,303,430,12,5,2,3,1,0,0,1,No,Chosen
NJ,8901,89,47,1,140,289,429,12,1,2,3,1,0,2,3,Yes,Chosen
MA,1566,15,35,1,144,282,426,12,1,0,2,2,2,1,4,Yes,Chosen
PA,19147,191,39,1,140,285,425,12,2,1,3,0,2,1,3,Yes,Chosen
CT,6511,65,59,1,133,284,417,12,3,1,4,0,0,1,3,Yes,Chosen
NY,10704,107,43,1,137,272,409,12,2,0,2,2,2,3,1,Yes,Chosen
NY,10038,100,51,1,142,264,406,12,1,2,2,0,1,2,4,Yes,Chosen
PA,19114,191,29,1,146,260,406,12,0,1,5,1,2,0,3,No,Chosen
MD,21234,212,71,1,134,269,403,12,5,0,3,2,0,0,2,No,Chosen
NJ,7403,74,47,1,135,267,402,12,2,2,1,1,2,1,3,Yes,Chosen
NJ,8759,87,61,1,142,258,400,12,2,1,3,0,1,1,4,No,Chosen
NJ,8077,80,35,1,138,261,399,12,3,0,2,3,2,2,0,No,Chosen
NJ,7470,74,65,1,142,252,394,12,1,1,4,0,2,1,3,Yes,Chosen
PA,19001,190,41,1,141,249,390,12,5,0,3,1,0,1,2,No,Chosen
PA,17110,171,55,1,136,252,388,12,2,3,3,0,2,0,2,No,Chosen
PA,19119,191,43,1,136,246,382,12,0,3,5,2,0,1,1,No,Chosen
NJ,7036,70,61,1,151,230,381,12,1,0,1,3,1,2,4,Yes,Chosen
MA,2144,21,43,1,137,238,375,12,5,0,2,1,2,0,2,No,Chosen
PA,15102,151,31,1,135,236,371,12,1,2,4,2,0,0,3,No,Chosen
NJ,7043,70,27,1,142,221,363,12,1,1,3,3,1,1,2,No,Chosen
NJ,7860,78,67,1,134,221,355,12,2,2,2,2,2,1,1,No,Chosen
NJ,8033,80,59,1,133,220,353,12,3,3,2,2,0,1,1,No,Chosen
NY,10530,105,43,1,142,211,353,12,2,0,4,2,0,2,2,No,Chosen
CT,6776,67,27,1,138,214,352,12,2,1,4,2,0,1,2,No,Chosen
NY,11780,117,59,1,139,212,351,12,5,0,1,4,0,1,1,No,Chosen
NY,10128,101,59,1,136,214,350,12,3,1,1,3,1,1,2,No,Chosen
PA,19317,193,69,1,134,211,345,12,2,1,2,3,1,2,1,No,Chosen
NJ,8260,82,39,1,147,194,341,12,1,0,2,1,3,3,2,Yes,Chosen
NJ,8109,81,61,1,129,208,337,12,2,2,6,1,0,0,1,No,Chosen
NJ,8724,87,27,1,139,197,336,12,1,3,2,3,0,1,2,No,Chosen
NY,11234,112,35,1,140,196,336,12,5,0,3,1,1,0,2,No,Chosen
MA,2062,20,69,1,141,195,336,12,4,0,3,1,0,2,2,No,Chosen
NJ,7083,70,35,1,125,208,333,12,4,1,5,2,0,0,0,No,Chosen
NY,14411,144,65,1,128,202,330,12,3,3,2,2,0,0,2,No,Chosen
CT,6478,64,63,1,139,190,329,12,1,1,3,4,1,1,1,No,Chosen
NJ,8054,80,37,1,129,198,327,12,3,2,3,2,0,0,2,No,Chosen
NJ,7005,70,39,1,146,181,327,12,3,0,2,1,0,2,4,Yes,Chosen
NY,10605,106,63,1,137,184,321,12,1,2,3,3,1,1,1,No,Chosen
MA,2178,21,55,1,148,167,315,12,0,1,4,2,1,1,3,Yes,Chosen
NY,10003,100,67,1,130,177,307,12,3,2,2,1,2,2,0,No,Chosen
PA,18702,187,59,1,133,172,305,12,2,2,2,1,1,1,3,No,Chosen
MD,20783,207,35,1,137,167,304,12,1,0,7,2,0,1,1,No,Chosen
MA,2140,21,45,1,136,167,303,12,1,5,2,1,0,2,1,Yes,Chosen
NJ,8831,88,45,1,139,163,302,12,5,0,1,4,0,1,1,No,Chosen
NY,11361,113,69,1,138,162,300,12,2,1,3,3,0,1,2,No,Chosen
NJ,7740,77,41,1,136,163,299,12,3,2,2,0,1,1,3,Yes,Chosen
MA,1583,15,45,1,134,164,298,12,3,1,4,3,0,0,1,No,Chosen
NJ,7003,70,53,1,133,160,293,12,3,1,3,1,2,0,2,No,Chosen
MD,21044,210,65,1,137,151,288,12,2,2,1,3,0,1,3,No,Chosen
MD,21234,212,39,1,134,153,287,12,2,1,3,2,0,0,4,No,Chosen
NJ,8807,88,29,1,127,160,287,12,2,3,5,1,0,1,0,No,Chosen
NJ,7206,72,53,1,132,146,278,12,2,3,1,2,2,1,1,No,Chosen
NY,11801,118,63,1,135,137,272,12,2,2,2,2,2,0,2,No,Chosen
NY,14618,146,69,1,139,121,260,12,4,0,2,3,1,0,2,No,Chosen
PA,19002,190,55,1,131,123,254,12,3,0,5,3,0,0,1,No,Chosen
NJ,7950,79,37,1,134,115,249,12,3,2,0,2,2,3,0,Yes,Chosen
NY,11558,115,37,1,136,109,245,12,4,2,3,1,1,0,1,No,Chosen
MD,20852,208,57,1,138,106,244,12,3,0,4,1,1,3,0,No,Chosen
PA,15017,150,53,1,147,96,243,12,1,2,0,3,1,0,5,No,Chosen
NJ,8863,88,51,1,141,101,242,12,0,1,5,2,2,2,0,No,Chosen
PA,18103,181,65,1,133,108,241,12,3,3,1,2,2,1,0,No,Chosen
MA,2146,21,41,1,130,111,241,12,2,0,5,2,2,1,0,No,Chosen
PA,19149,191,65,1,141,100,241,12,2,0,4,2,1,1,2,No,Chosen
NJ,7716,77,35,1,137,100,237,12,1,1,4,2,0,3,1,Yes,Chosen
PA,16238,162,55,1,145,90,235,12,1,0,4,2,2,1,2,No,Chosen
PA,15425,154,31,1,126,104,230,12,1,4,4,2,0,0,1,No,Chosen
NY,10021,100,31,1,127,100,227,12,3,1,4,1,1,2,0,No,Chosen
NY,11710,117,61,1,137,87,224,12,2,0,5,1,3,0,1,No,Chosen
NJ,8828,88,35,1,133,86,219,12,2,1,4,3,0,2,0,No,Chosen
MA,2339,23,29,1,140,73,213,12,5,0,1,2,0,2,2,No,Chosen
MD,20639,206,37,1,145,59,204,12,2,0,0,3,4,1,2,No,Chosen
MA,1760,17,43,1,138,66,204,12,3,1,2,3,0,1,2,No,Chosen
NY,11967,119,61,1,134,64,198,12,2,3,2,1,0,2,2,Yes,Chosen
NY,11372,113,25,1,138,58,196,12,3,2,2,1,0,0,4,No,Chosen
NJ,8638,86,69,1,143,50,193,12,2,1,1,0,2,3,3,Yes,Chosen
MA,1843,18,71,1,133,57,190,12,5,1,1,3,0,1,1,No,Chosen
PA,19022,190,69,1,139,46,185,12,3,0,3,1,1,1,3,No,Chosen
NH,3862,38,53,1,131,53,184,12,4,0,4,3,0,0,1,No,Chosen
NY,10605,106,29,1,129,53,182,12,3,1,5,2,0,0,1,No,Chosen
DE,19810,198,43,1,132,330,462,11,3,1,0,1,1,2,3,Yes,Chosen
PA,19020,190,45,1,130,330,460,11,3,0,2,2,0,0,4,Yes,Chosen
PA,19132,191,51,1,118,341,459,11,2,2,2,1,1,3,0,Yes,Chosen
PA,17110,171,41,1,122,337,459,11,3,1,2,1,2,1,1,No,Chosen
NY,14615,146,47,1,122,337,459,11,2,1,3,2,1,0,2,No,Chosen
NJ,7018,70,33,1,130,316,446,11,4,0,2,1,1,1,2,No,Chosen
MD,21215,212,37,1,123,322,445,11,2,0,4,1,2,1,1,Yes,Chosen
NY,11788,117,41,1,130,312,442,11,2,0,4,1,1,1,2,No,Chosen
MD,20906,209,39,1,119,322,441,11,2,3,2,1,1,1,1,No,Chosen
MA,1944,19,23,1,124,313,437,11,1,1,4,2,1,0,2,No,Chosen
PA,18436,184,41,1,121,316,437,11,3,1,3,1,0,2,1,No,Chosen
NJ,7013,70,23,1,122,315,437,11,1,3,2,1,3,0,1,No,Chosen
NY,10552,105,59,1,121,311,432,11,4,0,3,0,1,2,1,Yes,Chosen
CT,6850,68,45,1,130,298,428,11,1,1,0,3,3,2,1,Yes,Chosen
MA,1201,12,41,1,126,297,423,11,3,2,2,0,0,0,4,Yes,Chosen
NJ,8854,88,61,1,122,291,413,11,1,3,4,1,1,1,0,No,Chosen
NY,11554,115,27,1,109,303,412,11,3,2,4,2,0,0,0,No,Chosen
MA,1945,19,45,1,120,288,408,11,2,2,3,3,0,0,1,No,Chosen
NJ,7652,76,63,1,134,274,408,11,0,1,4,1,1,0,4,No,Chosen
PA,18042,180,37,1,122,275,397,11,5,0,3,0,1,2,0,No,Chosen
NJ,8075,80,29,1,124,263,387,11,3,2,4,1,0,0,1,No,Chosen
NJ,7024,70,25,1,118,269,387,11,3,2,2,1,1,2,0,No,Chosen
NY,10024,100,55,1,125,260,385,11,5,0,3,2,0,0,1,No,Chosen
NJ,7974,79,29,1,125,257,382,11,4,0,3,2,0,1,1,No,Chosen
PA,19053,190,25,1,125,250,375,11,2,0,2,3,2,0,2,No,Chosen
CT,6108,61,47,1,121,249,370,11,5,1,2,1,0,1,1,No,Chosen
NY,11001,110,57,1,135,233,368,11,2,0,0,1,3,0,5,Yes,Chosen
PA,18428,184,45,1,119,249,368,11,4,4,1,0,0,0,2,No,Chosen
NY,12121,121,63,1,125,235,360,11,4,0,4,0,0,1,2,No,Chosen
MA,2176,21,65,1,118,241,359,11,4,1,4,1,0,0,1,No,Chosen
NY,10471,104,51,1,131,227,358,11,2,0,3,1,1,0,4,No,Chosen
NY,11235,112,43,1,129,228,357,11,2,0,4,2,0,1,2,No,Chosen
NJ,7728,77,51,1,134,215,349,11,1,0,3,1,2,1,3,Yes,Chosen
CT,6070,60,61,1,131,214,345,11,4,0,2,1,0,2,2,No,Chosen
DE,19703,197,49,1,119,224,343,11,2,2,3,2,0,0,2,No,Chosen
PA,15223,152,27,1,131,205,336,11,3,1,1,1,0,1,4,Yes,Chosen
NY,12065,120,47,1,123,211,334,11,3,1,3,2,1,0,1,No,Chosen
NJ,8701,87,29,1,125,199,324,11,7,0,1,0,2,0,1,No,Chosen
RI,2860,28,53,1,122,193,315,11,3,3,1,1,2,1,0,No,Chosen
MD,20715,207,35,1,126,175,301,11,3,1,4,0,0,1,2,No,Chosen
PA,15232,152,23,1,118,181,299,11,1,2,4,2,1,1,0,No,Chosen
NJ,8831,88,33,1,117,181,298,11,3,0,5,1,0,1,1,No,Chosen
MD,20747,207,31,1,124,170,294,11,2,2,2,1,1,2,1,Yes,Chosen
MD,20854,208,49,1,134,160,294,11,2,0,1,4,0,1,3,No,Chosen
NY,11201,112,35,1,131,161,292,11,4,1,1,0,2,0,3,No,Chosen
NY,10009,100,33,1,119,168,287,11,2,2,3,1,1,1,1,No,Chosen
MA,1834,18,45,1,132,148,280,11,0,0,4,2,2,1,2,No,Chosen
NY,10502,105,47,1,129,149,278,11,2,0,3,0,1,1,4,Yes,Chosen
NJ,8831,88,49,1,114,164,278,11,5,3,1,1,1,0,0,No,Chosen
MD,21074,210,43,1,126,151,277,11,1,2,2,2,1,2,1,No,Chosen
NY,11236,112,61,1,125,151,276,11,5,0,1,2,0,3,0,Yes,Chosen
PA,18017,180,67,1,124,152,276,11,2,2,3,0,0,3,1,No,Chosen
NJ,8857,88,29,1,128,145,273,11,3,2,0,1,1,1,3,Yes,Chosen
NY,11598,115,55,1,120,149,269,11,4,1,1,2,1,0,2,No,Chosen
PA,19030,190,27,1,121,147,268,11,2,2,4,1,1,0,1,No,Chosen
PA,18940,189,39,1,124,143,267,11,1,0,3,6,1,0,0,No,Chosen
MD,21228,212,37,1,131,128,259,11,1,0,4,1,1,1,3,Yes,Chosen
NY,10542,105,37,1,123,135,258,11,1,0,4,5,1,0,0,No,Chosen
PA,18925,189,61,1,119,134,253,11,2,1,4,1,1,2,0,No,Chosen
NJ,7436,74,29,1,124,127,251,11,3,1,1,2,1,2,1,Yes,Chosen
NY,10306,103,45,1,122,120,242,11,2,1,4,0,1,2,1,No,Chosen
PA,19525,195,31,1,127,113,240,11,1,3,4,2,0,0,1,No,Chosen
NY,13148,131,57,1,116,119,235,11,4,1,2,2,1,0,1,No,Chosen
NY,11367,113,53,1,123,107,230,11,3,2,1,3,0,1,1,No,Chosen
MA,1742,17,53,1,126,103,229,11,3,0,1,4,2,1,0,No,Chosen
NY,10039,100,25,1,131,96,227,11,3,1,1,0,4,1,1,No,Chosen
NJ,7060,70,45,1,131,95,226,11,2,0,1,3,0,2,3,No,Chosen
PA,18974,189,59,1,136,90,226,11,1,0,1,3,1,3,2,Yes,Chosen
NJ,7670,76,25,1,121,97,218,11,2,1,3,2,3,0,0,No,Chosen
MA,1085,10,61,1,119,97,216,11,2,1,4,2,0,1,1,Yes,Chosen
MD,20906,209,43,1,121,88,209,11,3,3,2,1,1,0,1,No,Chosen
MA,2172,21,63,1,118,89,207,11,2,2,4,1,0,0,2,No,Chosen
MD,20640,206,57,1,118,86,204,11,5,2,2,0,0,2,0,No,Chosen
PA,19115,191,53,1,132,71,203,11,1,0,2,3,2,0,3,No,Chosen
MD,20906,209,45,1,122,80,202,11,2,1,3,3,1,1,0,No,Chosen
NY,10028,100,37,1,126,68,194,11,2,0,3,2,1,1,2,No,Chosen
PA,19609,196,39,1,125,67,192,11,2,1,1,3,1,1,2,No,Chosen
PA,18104,181,29,1,131,55,186,11,4,0,1,1,2,2,1,Yes,Chosen
NJ,7751,77,33,1,122,58,180,11,1,2,3,1,2,2,0,No,Chosen
NY,14206,142,65,1,126,50,176,11,2,2,1,2,1,1,2,No,Chosen
MD,21208,212,39,1,133,40,173,11,4,1,0,3,0,1,2,No,Chosen
MD,21009,210,61,1,117,53,170,11,2,1,3,3,2,0,0,No,Chosen
PA,16056,160,51,1,126,43,169,11,1,3,1,1,2,2,1,Yes,Chosen
NY,11772,117,47,1,132,33,165,11,1,0,3,2,0,0,5,Yes,Chosen
MA,2703,27,31,1,124,41,165,11,3,1,2,3,0,1,1,No,Chosen
MD,21087,210,41,1,110,337,447,10,2,1,2,2,0,0,3,No,Chosen
NJ,7666,76,41,1,114,327,441,10,1,3,4,0,0,0,2,No,Chosen
NJ,7830,78,59,1,105,334,439,10,2,2,3,2,0,0,1,No,Chosen
